indices,times,engine,encoded_indices
"('CREATE INDEX idx_patient_id ON patient(Patient_ID);', 'CREATE INDEX idx_sample_id ON sample(Sample_ID);', 'CREATE INDEX idx_sample_microorganism_sample_id ON sample_microorganism(Sample_ID);', 'CREATE INDEX idx_patient_disease ON patient(Disease(255));')","[0.023540735244750977, 0.0039713382720947266, 0.0009984970092773438, 0.0029964447021484375, 0.019639015197753906, 0.00508427619934082, 0.0010018348693847656, 0.006025552749633789, 0.010567903518676758, 0.016625404357910156]",MEMORY,I13+I15+I18+I12
"('CREATE INDEX idx_patient_id ON patient(Patient_ID);', 'CREATE INDEX idx_sample_id ON sample(Sample_ID);', 'CREATE INDEX idx_sample_microorganism_sample_id ON sample_microorganism(Sample_ID);', 'CREATE INDEX idx_sample_date ON sample(Date);')","[0.022109270095825195, 0.0034232139587402344, 0.005995035171508789, 0.0020346641540527344, 0.017564058303833008, 0.007003068923950195, 0.0009999275207519531, 0.005533695220947266, 0.009058952331542969, 0.01808023452758789]",MEMORY,I13+I15+I18+I14
"('CREATE INDEX idx_patient_id ON patient(Patient_ID);', 'CREATE INDEX idx_sample_id ON sample(Sample_ID);', 'CREATE INDEX idx_sample_microorganism_sample_id ON sample_microorganism(Sample_ID);', 'CREATE INDEX idx_sample_type ON sample(Sample_Type);')","[0.021605253219604492, 0.0022177696228027344, 0.006052255630493164, 0.001973390579223633, 0.017639875411987305, 0.005995273590087891, 0.0020008087158203125, 0.005025148391723633, 0.010018110275268555, 0.0170443058013916]",MEMORY,I13+I15+I18+I20
"('CREATE INDEX idx_patient_id ON patient(Patient_ID);', 'CREATE INDEX idx_sample_id ON sample(Sample_ID);', 'CREATE INDEX idx_sample_microorganism_sample_id ON sample_microorganism(Sample_ID);', 'CREATE INDEX idx_microorganism_species ON microorganism(Species(255));')","[0.02124762535095215, 0.002552509307861328, 0.005998849868774414, 0.002511739730834961, 0.017577409744262695, 0.007025480270385742, 0.0020034313201904297, 0.005020618438720703, 0.00901937484741211, 0.017998695373535156]",MEMORY,I13+I15+I18+I11
"('CREATE INDEX idx_patient_id ON patient(Patient_ID);', 'CREATE INDEX idx_sample_id ON sample(Sample_ID);', 'CREATE INDEX idx_sample_microorganism_microorganism_id ON sample_microorganism(Microorganism_ID);', 'CREATE INDEX idx_sample_microorganism_qpcr ON sample_microorganism(qPCR);')","[0.031319618225097656, 0.00099945068359375, 0.0060045719146728516, 0.002023458480834961, 0.016996383666992188, 0.004998445510864258, 0.002004861831665039, 0.005022525787353516, 0.010054588317871094, 0.017054319381713867]",MEMORY,I13+I15+I16+I17
"('CREATE INDEX idx_patient_id ON patient(Patient_ID);', 'CREATE INDEX idx_sample_id ON sample(Sample_ID);', 'CREATE INDEX idx_sample_microorganism_microorganism_id ON sample_microorganism(Microorganism_ID);', 'CREATE INDEX idx_patient_disease ON patient(Disease(255));')","[0.03210711479187012, 0.001996755599975586, 0.002126932144165039, 0.0029993057250976562, 0.019827842712402344, 0.0038709640502929688, 0.0019495487213134766, 0.005021810531616211, 0.009973287582397461, 0.01749420166015625]",MEMORY,I13+I15+I16+I12
"('CREATE INDEX idx_patient_id ON patient(Patient_ID);', 'CREATE INDEX idx_sample_id ON sample(Sample_ID);', 'CREATE INDEX idx_sample_microorganism_microorganism_id ON sample_microorganism(Microorganism_ID);', 'CREATE INDEX idx_sample_date ON sample(Date);')","[0.031139850616455078, 0.0010101795196533203, 0.0063512325286865234, 0.0020036697387695312, 0.017098188400268555, 0.004966259002685547, 0.0009992122650146484, 0.005025625228881836, 0.009994983673095703, 0.01796889305114746]",MEMORY,I13+I15+I16+I14
"('CREATE INDEX idx_patient_id ON patient(Patient_ID);', 'CREATE INDEX idx_sample_id ON sample(Sample_ID);', 'CREATE INDEX idx_sample_microorganism_microorganism_id ON sample_microorganism(Microorganism_ID);', 'CREATE INDEX idx_sample_type ON sample(Sample_Type);')","[0.031588077545166016, 0.0019664764404296875, 0.005999565124511719, 0.0020220279693603516, 0.016979694366455078, 0.003973960876464844, 0.0010006427764892578, 0.0050201416015625, 0.010016679763793945, 0.017064571380615234]",MEMORY,I13+I15+I16+I20
"('CREATE INDEX idx_patient_id ON patient(Patient_ID);', 'CREATE INDEX idx_sample_id ON sample(Sample_ID);', 'CREATE INDEX idx_sample_microorganism_microorganism_id ON sample_microorganism(Microorganism_ID);', 'CREATE INDEX idx_microorganism_species ON microorganism(Species(255));')","[0.029977083206176758, 0.0020003318786621094, 0.007021903991699219, 0.003000020980834961, 0.017998456954956055, 0.0031681060791015625, 0.0020036697387695312, 0.004988670349121094, 0.00963282585144043, 0.018701553344726562]",MEMORY,I13+I15+I16+I11
"('CREATE INDEX idx_patient_id ON patient(Patient_ID);', 'CREATE INDEX idx_sample_id ON sample(Sample_ID);', 'CREATE INDEX idx_sample_microorganism_qpcr ON sample_microorganism(qPCR);', 'CREATE INDEX idx_patient_disease ON patient(Disease(255));')","[0.0322573184967041, 0.0029990673065185547, 0.0019998550415039062, 0.0021941661834716797, 0.017960071563720703, 0.0050313472747802734, 0.0009975433349609375, 0.005316019058227539, 0.008553028106689453, 0.018045425415039062]",MEMORY,I13+I15+I17+I12
"('CREATE INDEX idx_patient_id ON patient(Patient_ID);', 'CREATE INDEX idx_sample_id ON sample(Sample_ID);', 'CREATE INDEX idx_sample_microorganism_qpcr ON sample_microorganism(qPCR);', 'CREATE INDEX idx_sample_date ON sample(Date);')","[0.03151416778564453, 0.0030028820037841797, 0.0060465335845947266, 0.0020034313201904297, 0.01805901527404785, 0.005269289016723633, 0.0019965171813964844, 0.0050199031829833984, 0.009053230285644531, 0.018073320388793945]",MEMORY,I13+I15+I17+I14
"('CREATE INDEX idx_patient_id ON patient(Patient_ID);', 'CREATE INDEX idx_sample_id ON sample(Sample_ID);', 'CREATE INDEX idx_sample_microorganism_qpcr ON sample_microorganism(qPCR);', 'CREATE INDEX idx_sample_type ON sample(Sample_Type);')","[0.03214287757873535, 0.0029985904693603516, 0.005963325500488281, 0.0019965171813964844, 0.017564058303833008, 0.00605320930480957, 0.0019981861114501953, 0.006284475326538086, 0.009018421173095703, 0.021843433380126953]",MEMORY,I13+I15+I17+I20
"('CREATE INDEX idx_patient_id ON patient(Patient_ID);', 'CREATE INDEX idx_sample_id ON sample(Sample_ID);', 'CREATE INDEX idx_sample_microorganism_qpcr ON sample_microorganism(qPCR);', 'CREATE INDEX idx_microorganism_species ON microorganism(Species(255));')","[0.03267264366149902, 0.0029840469360351562, 0.0057680606842041016, 0.0019998550415039062, 0.019001483917236328, 0.007094860076904297, 0.002004861831665039, 0.005547046661376953, 0.009982585906982422, 0.0167543888092041]",MEMORY,I13+I15+I17+I11
"('CREATE INDEX idx_patient_id ON patient(Patient_ID);', 'CREATE INDEX idx_sample_id ON sample(Sample_ID);', 'CREATE INDEX idx_patient_disease ON patient(Disease(255));', 'CREATE INDEX idx_sample_date ON sample(Date);')","[0.03242015838623047, 0.003000020980834961, 0.001981019973754883, 0.0030007362365722656, 0.01704692840576172, 0.00517725944519043, 0.0014159679412841797, 0.005957126617431641, 0.009032249450683594, 0.017679214477539062]",MEMORY,I13+I15+I12+I14
"('CREATE INDEX idx_patient_id ON patient(Patient_ID);', 'CREATE INDEX idx_sample_id ON sample(Sample_ID);', 'CREATE INDEX idx_patient_disease ON patient(Disease(255));', 'CREATE INDEX idx_sample_type ON sample(Sample_Type);')","[0.0516047477722168, 0.0020186901092529297, 0.002997875213623047, 0.0030052661895751953, 0.018018722534179688, 0.007089376449584961, 0.0019106864929199219, 0.00500178337097168, 0.00908350944519043, 0.016999483108520508]",MEMORY,I13+I15+I12+I20
"('CREATE INDEX idx_patient_id ON patient(Patient_ID);', 'CREATE INDEX idx_sample_id ON sample(Sample_ID);', 'CREATE INDEX idx_patient_disease ON patient(Disease(255));', 'CREATE INDEX idx_microorganism_species ON microorganism(Species(255));')","[0.04912161827087402, 0.0029985904693603516, 0.0020313262939453125, 0.0020203590393066406, 0.017000436782836914, 0.006999015808105469, 0.002001523971557617, 0.0050258636474609375, 0.009999990463256836, 0.01655435562133789]",MEMORY,I13+I15+I12+I11
"('CREATE INDEX idx_patient_id ON patient(Patient_ID);', 'CREATE INDEX idx_sample_id ON sample(Sample_ID);', 'CREATE INDEX idx_sample_date ON sample(Date);', 'CREATE INDEX idx_sample_type ON sample(Sample_Type);')","[0.031273841857910156, 0.0029582977294921875, 0.0060579776763916016, 0.0029594898223876953, 0.021793127059936523, 0.007001638412475586, 0.0009639263153076172, 0.0060160160064697266, 0.010054826736450195, 0.01805567741394043]",MEMORY,I13+I15+I14+I20
"('CREATE INDEX idx_patient_id ON patient(Patient_ID);', 'CREATE INDEX idx_sample_id ON sample(Sample_ID);', 'CREATE INDEX idx_sample_date ON sample(Date);', 'CREATE INDEX idx_microorganism_species ON microorganism(Species(255));')","[0.03534078598022461, 0.0039958953857421875, 0.0062427520751953125, 0.002019166946411133, 0.017625093460083008, 0.0060062408447265625, 0.0019974708557128906, 0.0050275325775146484, 0.010047435760498047, 0.018062114715576172]",MEMORY,I13+I15+I14+I11
"('CREATE INDEX idx_patient_id ON patient(Patient_ID);', 'CREATE INDEX idx_sample_id ON sample(Sample_ID);', 'CREATE INDEX idx_sample_type ON sample(Sample_Type);', 'CREATE INDEX idx_microorganism_species ON microorganism(Species(255));')","[0.03264570236206055, 0.0020208358764648438, 0.006000518798828125, 0.0019958019256591797, 0.015997886657714844, 0.010019302368164062, 0.0015184879302978516, 0.006028413772583008, 0.010632038116455078, 0.033545732498168945]",MEMORY,I13+I15+I20+I11
"('CREATE INDEX idx_patient_id ON patient(Patient_ID);', 'CREATE INDEX idx_sample_microorganism_sample_id ON sample_microorganism(Sample_ID);', 'CREATE INDEX idx_sample_microorganism_microorganism_id ON sample_microorganism(Microorganism_ID);', 'CREATE INDEX idx_sample_microorganism_qpcr ON sample_microorganism(qPCR);')","[0.022317171096801758, 0.002000093460083008, 0.0059964656829833984, 0.002994060516357422, 0.01907968521118164, 0.004029035568237305, 0.0010249614715576172, 0.005326986312866211, 0.010049581527709961, 0.01806783676147461]",MEMORY,I13+I18+I16+I17
"('CREATE INDEX idx_patient_id ON patient(Patient_ID);', 'CREATE INDEX idx_sample_microorganism_sample_id ON sample_microorganism(Sample_ID);', 'CREATE INDEX idx_sample_microorganism_microorganism_id ON sample_microorganism(Microorganism_ID);', 'CREATE INDEX idx_patient_disease ON patient(Disease(255));')","[0.022344589233398438, 0.0009987354278564453, 0.0019996166229248047, 0.0020055770874023438, 0.02133631706237793, 0.003995418548583984, 0.0009970664978027344, 0.005029916763305664, 0.009041070938110352, 0.01807379722595215]",MEMORY,I13+I18+I16+I12
"('CREATE INDEX idx_patient_id ON patient(Patient_ID);', 'CREATE INDEX idx_sample_microorganism_sample_id ON sample_microorganism(Sample_ID);', 'CREATE INDEX idx_sample_microorganism_microorganism_id ON sample_microorganism(Microorganism_ID);', 'CREATE INDEX idx_sample_date ON sample(Date);')","[0.02300286293029785, 0.002023935317993164, 0.005742549896240234, 0.0019822120666503906, 0.016518831253051758, 0.004027128219604492, 0.0019838809967041016, 0.00502777099609375, 0.009584188461303711, 0.017670154571533203]",MEMORY,I13+I18+I16+I14
"('CREATE INDEX idx_patient_id ON patient(Patient_ID);', 'CREATE INDEX idx_sample_microorganism_sample_id ON sample_microorganism(Sample_ID);', 'CREATE INDEX idx_sample_microorganism_microorganism_id ON sample_microorganism(Microorganism_ID);', 'CREATE INDEX idx_sample_type ON sample(Sample_Type);')","[0.021636486053466797, 0.0020012855529785156, 0.006014108657836914, 0.0025746822357177734, 0.015625476837158203, 0.00397801399230957, 0.002014636993408203, 0.00502777099609375, 0.010309457778930664, 0.017061233520507812]",MEMORY,I13+I18+I16+I20
"('CREATE INDEX idx_patient_id ON patient(Patient_ID);', 'CREATE INDEX idx_sample_microorganism_sample_id ON sample_microorganism(Sample_ID);', 'CREATE INDEX idx_sample_microorganism_microorganism_id ON sample_microorganism(Microorganism_ID);', 'CREATE INDEX idx_microorganism_species ON microorganism(Species(255));')","[0.02199840545654297, 0.001005411148071289, 0.0054247379302978516, 0.002949237823486328, 0.02457594871520996, 0.002969026565551758, 0.0010023117065429688, 0.005969047546386719, 0.021021604537963867, 0.027324914932250977]",MEMORY,I13+I18+I16+I11
"('CREATE INDEX idx_patient_id ON patient(Patient_ID);', 'CREATE INDEX idx_sample_microorganism_sample_id ON sample_microorganism(Sample_ID);', 'CREATE INDEX idx_sample_microorganism_qpcr ON sample_microorganism(qPCR);', 'CREATE INDEX idx_patient_disease ON patient(Disease(255));')","[0.03507113456726074, 0.0030024051666259766, 0.0030014514923095703, 0.0019965171813964844, 0.020310163497924805, 0.005998373031616211, 0.0020394325256347656, 0.007414102554321289, 0.018248558044433594, 0.02927565574645996]",MEMORY,I13+I18+I17+I12
"('CREATE INDEX idx_patient_id ON patient(Patient_ID);', 'CREATE INDEX idx_sample_microorganism_sample_id ON sample_microorganism(Sample_ID);', 'CREATE INDEX idx_sample_microorganism_qpcr ON sample_microorganism(qPCR);', 'CREATE INDEX idx_sample_date ON sample(Date);')","[0.022782564163208008, 0.0030002593994140625, 0.0060269832611083984, 0.002090930938720703, 0.019211530685424805, 0.0065708160400390625, 0.0019991397857666016, 0.0063016414642333984, 0.009998798370361328, 0.018999338150024414]",MEMORY,I13+I18+I17+I14
"('CREATE INDEX idx_patient_id ON patient(Patient_ID);', 'CREATE INDEX idx_sample_microorganism_sample_id ON sample_microorganism(Sample_ID);', 'CREATE INDEX idx_sample_microorganism_qpcr ON sample_microorganism(qPCR);', 'CREATE INDEX idx_sample_type ON sample(Sample_Type);')","[0.024625778198242188, 0.002022981643676758, 0.005517005920410156, 0.0020236968994140625, 0.017549514770507812, 0.006010532379150391, 0.0019969940185546875, 0.0070493221282958984, 0.015065431594848633, 0.02666187286376953]",MEMORY,I13+I18+I17+I20
"('CREATE INDEX idx_patient_id ON patient(Patient_ID);', 'CREATE INDEX idx_sample_microorganism_sample_id ON sample_microorganism(Sample_ID);', 'CREATE INDEX idx_sample_microorganism_qpcr ON sample_microorganism(qPCR);', 'CREATE INDEX idx_microorganism_species ON microorganism(Species(255));')","[0.021632671356201172, 0.004068136215209961, 0.006026268005371094, 0.0019979476928710938, 0.018506765365600586, 0.005614519119262695, 0.002000093460083008, 0.00602412223815918, 0.013063669204711914, 0.01957392692565918]",MEMORY,I13+I18+I17+I11
"('CREATE INDEX idx_patient_id ON patient(Patient_ID);', 'CREATE INDEX idx_sample_microorganism_sample_id ON sample_microorganism(Sample_ID);', 'CREATE INDEX idx_patient_disease ON patient(Disease(255));', 'CREATE INDEX idx_sample_date ON sample(Date);')","[0.021053314208984375, 0.0030007362365722656, 0.001954317092895508, 0.0020360946655273438, 0.01656317710876465, 0.006002664566040039, 0.0023734569549560547, 0.006041526794433594, 0.012026071548461914, 0.02743983268737793]",MEMORY,I13+I18+I12+I14
"('CREATE INDEX idx_patient_id ON patient(Patient_ID);', 'CREATE INDEX idx_sample_microorganism_sample_id ON sample_microorganism(Sample_ID);', 'CREATE INDEX idx_patient_disease ON patient(Disease(255));', 'CREATE INDEX idx_sample_type ON sample(Sample_Type);')","[0.02381157875061035, 0.004015684127807617, 0.002516508102416992, 0.0031690597534179688, 0.016999006271362305, 0.006994485855102539, 0.0020287036895751953, 0.006997346878051758, 0.019184112548828125, 0.02905416488647461]",MEMORY,I13+I18+I12+I20
"('CREATE INDEX idx_patient_id ON patient(Patient_ID);', 'CREATE INDEX idx_sample_microorganism_sample_id ON sample_microorganism(Sample_ID);', 'CREATE INDEX idx_patient_disease ON patient(Disease(255));', 'CREATE INDEX idx_microorganism_species ON microorganism(Species(255));')","[0.0252530574798584, 0.00405120849609375, 0.001959085464477539, 0.0026972293853759766, 0.027333736419677734, 0.006044149398803711, 0.0019981861114501953, 0.008629083633422852, 0.01808309555053711, 0.019017934799194336]",MEMORY,I13+I18+I12+I11
"('CREATE INDEX idx_patient_id ON patient(Patient_ID);', 'CREATE INDEX idx_sample_microorganism_sample_id ON sample_microorganism(Sample_ID);', 'CREATE INDEX idx_sample_date ON sample(Date);', 'CREATE INDEX idx_sample_type ON sample(Sample_Type);')","[0.025178909301757812, 0.002010822296142578, 0.006003856658935547, 0.002053499221801758, 0.021665573120117188, 0.0060558319091796875, 0.001995563507080078, 0.004548549652099609, 0.010002374649047852, 0.020557403564453125]",MEMORY,I13+I18+I14+I20
"('CREATE INDEX idx_patient_id ON patient(Patient_ID);', 'CREATE INDEX idx_sample_microorganism_sample_id ON sample_microorganism(Sample_ID);', 'CREATE INDEX idx_sample_date ON sample(Date);', 'CREATE INDEX idx_microorganism_species ON microorganism(Species(255));')","[0.029359817504882812, 0.002999544143676758, 0.005999088287353516, 0.002999544143676758, 0.018999099731445312, 0.006996631622314453, 0.0021522045135498047, 0.00600123405456543, 0.018076658248901367, 0.029909849166870117]",MEMORY,I13+I18+I14+I11
"('CREATE INDEX idx_patient_id ON patient(Patient_ID);', 'CREATE INDEX idx_sample_microorganism_sample_id ON sample_microorganism(Sample_ID);', 'CREATE INDEX idx_sample_type ON sample(Sample_Type);', 'CREATE INDEX idx_microorganism_species ON microorganism(Species(255));')","[0.022183656692504883, 0.004027843475341797, 0.006996870040893555, 0.002576589584350586, 0.019074678421020508, 0.005975246429443359, 0.0019996166229248047, 0.006638050079345703, 0.016565561294555664, 0.024546384811401367]",MEMORY,I13+I18+I20+I11
"('CREATE INDEX idx_patient_id ON patient(Patient_ID);', 'CREATE INDEX idx_sample_microorganism_microorganism_id ON sample_microorganism(Microorganism_ID);', 'CREATE INDEX idx_sample_microorganism_qpcr ON sample_microorganism(qPCR);', 'CREATE INDEX idx_patient_disease ON patient(Disease(255));')","[0.04506230354309082, 0.002002239227294922, 0.0019600391387939453, 0.0020215511322021484, 0.01799774169921875, 0.0040302276611328125, 0.001992940902709961, 0.005999565124511719, 0.011941909790039062, 0.028594493865966797]",MEMORY,I13+I16+I17+I12
"('CREATE INDEX idx_patient_id ON patient(Patient_ID);', 'CREATE INDEX idx_sample_microorganism_microorganism_id ON sample_microorganism(Microorganism_ID);', 'CREATE INDEX idx_sample_microorganism_qpcr ON sample_microorganism(qPCR);', 'CREATE INDEX idx_sample_date ON sample(Date);')","[0.0361788272857666, 0.0010037422180175781, 0.006522655487060547, 0.0030341148376464844, 0.018550395965576172, 0.0040280818939208984, 0.0020046234130859375, 0.006999492645263672, 0.010007619857788086, 0.019028663635253906]",MEMORY,I13+I16+I17+I14
"('CREATE INDEX idx_patient_id ON patient(Patient_ID);', 'CREATE INDEX idx_sample_microorganism_microorganism_id ON sample_microorganism(Microorganism_ID);', 'CREATE INDEX idx_sample_microorganism_qpcr ON sample_microorganism(qPCR);', 'CREATE INDEX idx_sample_type ON sample(Sample_Type);')","[0.03493475914001465, 0.0014467239379882812, 0.006001710891723633, 0.003999233245849609, 0.018038272857666016, 0.003983497619628906, 0.0009996891021728516, 0.007048368453979492, 0.011957406997680664, 0.018687009811401367]",MEMORY,I13+I16+I17+I20
"('CREATE INDEX idx_patient_id ON patient(Patient_ID);', 'CREATE INDEX idx_sample_microorganism_microorganism_id ON sample_microorganism(Microorganism_ID);', 'CREATE INDEX idx_sample_microorganism_qpcr ON sample_microorganism(qPCR);', 'CREATE INDEX idx_microorganism_species ON microorganism(Species(255));')","[0.0359797477722168, 0.0016994476318359375, 0.006997108459472656, 0.0029633045196533203, 0.0169832706451416, 0.004029273986816406, 0.0019724369049072266, 0.0050275325775146484, 0.011005401611328125, 0.021679401397705078]",MEMORY,I13+I16+I17+I11
"('CREATE INDEX idx_patient_id ON patient(Patient_ID);', 'CREATE INDEX idx_sample_microorganism_microorganism_id ON sample_microorganism(Microorganism_ID);', 'CREATE INDEX idx_patient_disease ON patient(Disease(255));', 'CREATE INDEX idx_sample_date ON sample(Date);')","[0.034230947494506836, 0.0019986629486083984, 0.0019989013671875, 0.001999378204345703, 0.019627094268798828, 0.005000591278076172, 0.002012491226196289, 0.007007122039794922, 0.010998249053955078, 0.03098464012145996]",MEMORY,I13+I16+I12+I14
"('CREATE INDEX idx_patient_id ON patient(Patient_ID);', 'CREATE INDEX idx_sample_microorganism_microorganism_id ON sample_microorganism(Microorganism_ID);', 'CREATE INDEX idx_patient_disease ON patient(Disease(255));', 'CREATE INDEX idx_sample_type ON sample(Sample_Type);')","[0.035300254821777344, 0.0009951591491699219, 0.001851797103881836, 0.004002809524536133, 0.02250814437866211, 0.004002809524536133, 0.0010592937469482422, 0.006001472473144531, 0.010063648223876953, 0.019716501235961914]",MEMORY,I13+I16+I12+I20
"('CREATE INDEX idx_patient_id ON patient(Patient_ID);', 'CREATE INDEX idx_sample_microorganism_microorganism_id ON sample_microorganism(Microorganism_ID);', 'CREATE INDEX idx_patient_disease ON patient(Disease(255));', 'CREATE INDEX idx_microorganism_species ON microorganism(Species(255));')","[0.03139352798461914, 0.0019342899322509766, 0.0020456314086914062, 0.0019893646240234375, 0.018102407455444336, 0.004001140594482422, 0.001996755599975586, 0.0049588680267333984, 0.012643575668334961, 0.02100968360900879]",MEMORY,I13+I16+I12+I11
"('CREATE INDEX idx_patient_id ON patient(Patient_ID);', 'CREATE INDEX idx_sample_microorganism_microorganism_id ON sample_microorganism(Microorganism_ID);', 'CREATE INDEX idx_sample_date ON sample(Date);', 'CREATE INDEX idx_sample_type ON sample(Sample_Type);')","[0.03173398971557617, 0.001997709274291992, 0.006021022796630859, 0.0030019283294677734, 0.017366409301757812, 0.003997087478637695, 0.0020437240600585938, 0.0059947967529296875, 0.014670133590698242, 0.02208256721496582]",MEMORY,I13+I16+I14+I20
"('CREATE INDEX idx_patient_id ON patient(Patient_ID);', 'CREATE INDEX idx_sample_microorganism_microorganism_id ON sample_microorganism(Microorganism_ID);', 'CREATE INDEX idx_sample_date ON sample(Date);', 'CREATE INDEX idx_microorganism_species ON microorganism(Species(255));')","[0.03628945350646973, 0.002001523971557617, 0.006000518798828125, 0.0032851696014404297, 0.017998456954956055, 0.003036975860595703, 0.0020008087158203125, 0.0069959163665771484, 0.015445470809936523, 0.02341771125793457]",MEMORY,I13+I16+I14+I11
"('CREATE INDEX idx_patient_id ON patient(Patient_ID);', 'CREATE INDEX idx_sample_microorganism_microorganism_id ON sample_microorganism(Microorganism_ID);', 'CREATE INDEX idx_sample_type ON sample(Sample_Type);', 'CREATE INDEX idx_microorganism_species ON microorganism(Species(255));')","[0.03162503242492676, 0.0010039806365966797, 0.006011962890625, 0.002998828887939453, 0.01713418960571289, 0.004999876022338867, 0.0009129047393798828, 0.006035327911376953, 0.01584458351135254, 0.02673625946044922]",MEMORY,I13+I16+I20+I11
"('CREATE INDEX idx_patient_id ON patient(Patient_ID);', 'CREATE INDEX idx_sample_microorganism_qpcr ON sample_microorganism(qPCR);', 'CREATE INDEX idx_patient_disease ON patient(Disease(255));', 'CREATE INDEX idx_sample_date ON sample(Date);')","[0.0319516658782959, 0.0029578208923339844, 0.0020046234130859375, 0.0020208358764648438, 0.017513513565063477, 0.005545854568481445, 0.0020041465759277344, 0.005839824676513672, 0.01806330680847168, 0.01801443099975586]",MEMORY,I13+I17+I12+I14
"('CREATE INDEX idx_patient_id ON patient(Patient_ID);', 'CREATE INDEX idx_sample_microorganism_qpcr ON sample_microorganism(qPCR);', 'CREATE INDEX idx_patient_disease ON patient(Disease(255));', 'CREATE INDEX idx_sample_type ON sample(Sample_Type);')","[0.037011146545410156, 0.004006624221801758, 0.0019927024841308594, 0.001983642578125, 0.018077611923217773, 0.005540132522583008, 0.0020101070404052734, 0.0069446563720703125, 0.010996580123901367, 0.019468069076538086]",MEMORY,I13+I17+I12+I20
"('CREATE INDEX idx_patient_id ON patient(Patient_ID);', 'CREATE INDEX idx_sample_microorganism_qpcr ON sample_microorganism(qPCR);', 'CREATE INDEX idx_patient_disease ON patient(Disease(255));', 'CREATE INDEX idx_microorganism_species ON microorganism(Species(255));')","[0.03807950019836426, 0.003021717071533203, 0.002000093460083008, 0.0019998550415039062, 0.0172121524810791, 0.0050067901611328125, 0.000997781753540039, 0.0065572261810302734, 0.015114307403564453, 0.033014535903930664]",MEMORY,I13+I17+I12+I11
"('CREATE INDEX idx_patient_id ON patient(Patient_ID);', 'CREATE INDEX idx_sample_microorganism_qpcr ON sample_microorganism(qPCR);', 'CREATE INDEX idx_sample_date ON sample(Date);', 'CREATE INDEX idx_sample_type ON sample(Sample_Type);')","[0.03361058235168457, 0.0020155906677246094, 0.0060002803802490234, 0.0030014514923095703, 0.019913673400878906, 0.01734328269958496, 0.0020117759704589844, 0.006029605865478516, 0.014091253280639648, 0.026596546173095703]",MEMORY,I13+I17+I14+I20
"('CREATE INDEX idx_patient_id ON patient(Patient_ID);', 'CREATE INDEX idx_sample_microorganism_qpcr ON sample_microorganism(qPCR);', 'CREATE INDEX idx_sample_date ON sample(Date);', 'CREATE INDEX idx_microorganism_species ON microorganism(Species(255));')","[0.03547263145446777, 0.003001689910888672, 0.007410287857055664, 0.00400233268737793, 0.018062353134155273, 0.00701141357421875, 0.002010345458984375, 0.006020307540893555, 0.014952421188354492, 0.028051137924194336]",MEMORY,I13+I17+I14+I11
"('CREATE INDEX idx_patient_id ON patient(Patient_ID);', 'CREATE INDEX idx_sample_microorganism_qpcr ON sample_microorganism(qPCR);', 'CREATE INDEX idx_sample_type ON sample(Sample_Type);', 'CREATE INDEX idx_microorganism_species ON microorganism(Species(255));')","[0.03813886642456055, 0.003020763397216797, 0.0060002803802490234, 0.0030181407928466797, 0.019076108932495117, 0.00700068473815918, 0.002003908157348633, 0.006445169448852539, 0.015581607818603516, 0.025645971298217773]",MEMORY,I13+I17+I20+I11
"('CREATE INDEX idx_patient_id ON patient(Patient_ID);', 'CREATE INDEX idx_patient_disease ON patient(Disease(255));', 'CREATE INDEX idx_sample_date ON sample(Date);', 'CREATE INDEX idx_sample_type ON sample(Sample_Type);')","[0.03377962112426758, 0.0019979476928710938, 0.0020132064819335938, 0.0029993057250976562, 0.019054651260375977, 0.005011558532714844, 0.0019817352294921875, 0.0060002803802490234, 0.014997482299804688, 0.028519392013549805]",MEMORY,I13+I12+I14+I20
"('CREATE INDEX idx_patient_id ON patient(Patient_ID);', 'CREATE INDEX idx_patient_disease ON patient(Disease(255));', 'CREATE INDEX idx_sample_date ON sample(Date);', 'CREATE INDEX idx_microorganism_species ON microorganism(Species(255));')","[0.03326582908630371, 0.0029609203338623047, 0.002002716064453125, 0.0030031204223632812, 0.017577409744262695, 0.0070743560791015625, 0.0019915103912353516, 0.006407022476196289, 0.010976314544677734, 0.021011829376220703]",MEMORY,I13+I12+I14+I11
"('CREATE INDEX idx_patient_id ON patient(Patient_ID);', 'CREATE INDEX idx_patient_disease ON patient(Disease(255));', 'CREATE INDEX idx_sample_type ON sample(Sample_Type);', 'CREATE INDEX idx_microorganism_species ON microorganism(Species(255));')","[0.03443574905395508, 0.0030012130737304688, 0.002003192901611328, 0.0020101070404052734, 0.01963019371032715, 0.005629539489746094, 0.0020360946655273438, 0.005024433135986328, 0.014001607894897461, 0.024073362350463867]",MEMORY,I13+I12+I20+I11
"('CREATE INDEX idx_patient_id ON patient(Patient_ID);', 'CREATE INDEX idx_sample_date ON sample(Date);', 'CREATE INDEX idx_sample_type ON sample(Sample_Type);', 'CREATE INDEX idx_microorganism_species ON microorganism(Species(255));')","[0.03814387321472168, 0.0020029544830322266, 0.005997419357299805, 0.0030570030212402344, 0.018072128295898438, 0.007010698318481445, 0.002004861831665039, 0.005997180938720703, 0.01100921630859375, 0.019995927810668945]",MEMORY,I13+I14+I20+I11
